X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
2302,348,6,0,0,127,209,231,160,192,0.27,-204, FC14, CA30,,Carrot
2831,107,33,190,98,2137,254,182,28,450,0.39,-3, FC13, CA33,,Melon
2762,317,16,201,46,1677,176,224,187,1142,0.53,390, FC13, CA30,,Melon
2859,294,18,0,0,2133,165,232,206,959,0.01,903, FC13, CA39,,Melon
2754,74,30,153,111,162,239,168,37,2100,1,75, FC11, CA50,,Melon
3292,213,11,573,65,4237,210,251,175,2039,0.39,645, FC11, CA43,,Peach
2367,283,16,120,26,42,174,239,204,663,0.11,277, FC14, CA30,,Berry
2738,304,9,0,0,1952,196,236,180,732,0.97,-455, FC13, CA51,,Melon
3067,133,11,242,43,3491,237,235,127,2771,0.75,-398, FC11, CA50,,Apple
2810,25,14,85,10,1684,213,210,131,1678,0.8,-379, FC13, CA37,,Melon
2233,332,8,0,0,1485,201,230,168,631,0.59,993, FC14, CA37,,Carrot
2884,233,2,420,86,2045,215,241,163,808,0.02,-615, FC13, CA51,R3,Melon
2765,231,18,175,39,1894,189,253,198,932,0.42,645, FC13, CA53,,Melon
2836,,19,212,41,1725,178,206,165,1648,0.98,383, FC13, CA33,,Mango
2255,,23,0,0,1411,250,220,85,457,0.72,-555, FC14, CA23,,Carrot
2139,27,27,283,106,426,198,172,97,331,0.91,-29, FC14, CA21,,Berry
2499,42,13,497,-7,953,222,212,123,3950,0.63,812, FC11, CA38,,Orange
2833,163,21,361,167,2195,235,241,126,2121,0.64,-615, FC13, CA30,,Berry
2425,80,11,300,71,295,234,221,118,426,0.97,-506, FC14, CA22,,Berry
2787,232,12,379,26,1850,201,251,186,2073,0.14,693, FC13, CA37,,Melon
2547,125,4,120,21,532,226,237,145,1077,0.78,914, FC14, CA26,,Berry
2427,41,10,0,0,390,221,218,131,1302,0.82,794, FC14, CA26,,Carrot
2724,349,15,67,4,1302,191,213,160,2252,0.1,-180, FC11, CA49,,Melon
3154,54,15,361,67,5023,228,207,109,3302,0.97,370, FC11, CA50,,Apple
2818,65,19,247,135,270,234,199,89,1618,0.01,360, FC11, CA49,,Melon
3371,333,1,30,2,4347,216,237,158,4135,0.93,785, FC11, CA60,R1,Peach
2696,137,11,0,0,1146,237,236,128,551,0.79,143, FC13, CA22,,Melon
2879,188,15,256,24,1061,220,250,159,1841,0.01,-1, FC13, CA33,,Melon
2716,322,23,319,139,1146,154,209,192,2084,0.47,746, FC13, CA33,,Mango
2701,69,7,30,-5,2389,228,226,131,524,0.39,347, FC13, CA51,,Melon
3044,234,6,313,65,1753,210,246,173,1528,0.81,512, FC13, CA43,,Apple
3132,52,9,60,-1,1892,225,221,130,408,0.25,-591, FC11, CA43,,Apple
2402,,22,175,51,582,188,189,132,1155,0.5,687, FC14, CA30,,Berry
3177,62,4,0,0,2187,223,232,145,811,0.92,-906, FC11, CA43,,Apple
3077,24,9,85,11,2255,215,220,141,2265,0.3,956, FC13, CA52,,Apple
2391,62,16,0,0,708,232,205,101,886,0.81,694, FC14, CA21,,Carrot
2932,339,24,60,14,384,161,198,171,2278,0.23,-104, FC11, CA49,,Apple
2823,121,11,153,8,2125,239,231,120,2239,0.66,-184, FC13, CA46,,Melon
2309,103,9,0,0,685,236,228,122,721,0.88,-609, FC14, CA37,,Carrot
2214,317,12,0,0,1090,187,229,182,636,0.56,-590, FC14, CA21,,Carrot
2712,189,16,270,105,2032,219,250,160,2605,0.9,641, FC13, CA24,,Berry
3366,352,5,30,2,2713,211,231,158,2298,0.36,211, FC11, CA58,,Peach
2887,96,28,450,241,469,251,187,44,1872,0.05,604, FC11, CA50,,Melon
2137,24,21,30,7,1128,203,189,115,1477,0.79,-962, FC14, CA37,,Carrot
3172,90,19,242,-36,1490,245,206,81,2316,0.67,-878, FC11, CA42,,Apple
2310,101,27,551,152,1429,252,194,52,960,0.03,350, FC14, CA22,,Carrot
3416,339,21,300,91,3690,170,204,170,3692,0.12,256, FC11, CA59,,Peach
2255,305,10,0,0,1648,194,235,181,960,0.39,16, FC14, CA37,,Carrot
2036,102,17,0,0,313,246,215,91,573,0.41,-686, FC14, CA21,,Carrot
3116,130,22,30,-6,3544,249,222,89,2452,0.06,-539, FC11, CA49,,Apple
3190,172,13,270,52,2024,228,246,147,2781,0.94,479, FC11, CA49,,Peach
2151,351,18,210,87,495,186,207,158,446,0.3,674, FC14, CA30,,Berry
2228,319,5,0,0,446,206,235,168,979,0.93,983, FC14, CA36,,Carrot
3083,45,5,256,49,3776,221,229,143,2850,0.01,62, FC11, CA49,,Apple
2955,25,15,210,34,2224,211,205,127,2131,0.34,975, FC13, CA42,,Apple
2613,,5,216,34,1519,220,229,146,4818,0.71,636, FC11, CA32,,Orange
2321,139,14,426,27,1323,240,235,122,932,0.44,-404, FC14, CA22,,Carrot
2776,73,25,175,95,190,239,185,62,1354,0.97,-609, FC11, CA49,,Melon
2763,58,22,240,121,242,230,187,79,1652,0.96,679, FC11, CA50,,Melon
2283,338,24,234,45,636,161,198,172,492,0.17,251, FC14, CA26,,Berry
2122,49,24,0,0,309,221,180,80,882,0.99,949, FC14, CA21,,Carrot
2269,325,25,42,13,902,151,204,189,525,0.36,603, FC14, CA30,,Berry
2690,261,12,67,-4,1425,191,246,194,1090,0.44,992, FC13, CA43,,Melon
2830,,7,408,64,1959,221,224,138,865,0.61,-100, FC13, CA31,,Melon
2856,,22,351,99,474,229,189,82,1383,0.1,509, FC11, CA50,,Melon
2944,35,18,360,55,2379,215,197,112,1513,0.1,25, FC13, CA52,R1,Apple
2060,62,19,30,7,454,232,197,90,234,0.16,573, FC14, CA23,R1,Carrot
3250,,12,0,0,3973,237,219,111,1940,0.2,-845, FC11, CA58,,Peach
2236,168,19,150,55,1084,231,244,135,1214,0.23,207, FC14, CA23,,Carrot
1962,69,22,42,2,300,237,190,72,553,0.64,-879, FC14, CA21,,Mango
2281,210,21,234,100,1176,199,254,183,1140,0.81,-741, FC14, CA23,,Carrot
2208,135,10,120,12,85,236,236,130,277,0.68,305, FC14, CA22,,Berry
2260,352,27,30,1,1683,164,184,151,872,0.86,-49, FC14, CA30,,Carrot
2725,8,7,0,0,1259,212,227,152,2233,0.54,-776, FC13, CA37,,Melon
3192,175,17,30,-9,2656,227,247,145,2704,0.92,973, FC11, CA49,,Peach
2796,131,9,0,0,2794,235,235,132,2323,0.08,338, FC11, CA49,,Melon
2907,91,30,210,7,390,249,178,35,2173,0.73,-755, FC11, CA50,,Melon
2462,353,20,283,106,700,182,202,155,1235,0.23,-408, FC14, CA30,,Berry
3352,100,13,277,26,2630,241,222,110,2475,0.61,-349, FC11, CA59,R1,Peach
2045,313,23,124,40,170,152,216,201,732,0.9,828, FC14, CA30,,Berry
1946,49,17,30,4,330,225,202,105,595,0.44,45, FC14, CA21,R3,Mango
2969,,17,330,34,5109,194,206,147,1847,0.69,-474, FC11, CA49,,Melon
2281,14,28,408,124,824,181,169,112,1019,0.81,-998, FC14, CA30,,Berry
2110,107,32,108,59,503,254,183,30,162,0.1,-887, FC14, CA23,,Carrot
2595,197,12,330,90,866,217,250,166,1498,0.68,-68, FC13, CA24,R1,Berry
2697,82,7,108,10,210,230,228,132,977,0.3,-401, FC13, CA37,,Melon
3164,0,13,242,46,3207,200,215,152,2451,0.85,-233, FC13, CA51,,Apple
2251,175,5,0,0,467,223,243,154,541,0.42,-675, FC14, CA30,,Carrot
2777,,14,30,4,2165,188,248,198,853,0.23,762, FC13, CA51,,Melon
2073,74,14,30,0,990,236,212,104,277,0.41,446, FC14, CA30,,Carrot
2020,15,23,180,44,510,194,187,123,582,0.7,756, FC14, CA30,,Mango
2746,139,19,30,7,421,245,231,107,361,0.57,-740, FC11, CA50,,Melon
2482,356,16,543,92,1249,193,211,154,564,0,-180, FC14, CA26,R3,Berry
3248,,10,742,84,2785,214,218,140,3326,0.53,-797, FC13, CA51,,Apple
2707,5,18,42,6,1242,195,203,143,2190,0.16,732, FC11, CA43,,Melon
2290,171,6,300,28,127,225,243,153,301,0.82,571, FC14, CA30,,Carrot
3113,343,6,42,2,1421,208,231,161,1300,1,455, FC12, CA43,,Apple
2566,,11,256,87,755,193,228,175,1332,0.51,-149, FC13, CA31,,Melon
2930,16,12,175,35,2064,209,214,140,3018,0.21,-909, FC13, CA53,,Apple
3325,180,13,255,46,3834,224,248,153,1794,0.98,-184, FC13, CA58,,Apple
2417,170,13,300,73,1022,229,245,145,1438,0.17,-1, FC14, CA26,,Berry
2251,75,27,60,35,525,240,178,51,981,0.92,-115, FC14, CA21,,Carrot
2714,70,24,134,70,150,237,186,67,1719,0.97,-5, FC11, CA50,,Melon
3132,75,25,365,91,1316,241,185,60,1168,0.79,926, FC13, CA52,,Apple
2751,103,22,240,119,270,250,206,73,595,0.74,934, FC11, CA50,,Melon
2234,292,37,85,25,785,95,205,236,636,0.28,160, FC14, CA30,,Berry
2902,266,9,0,0,2143,197,244,187,1530,0.25,-852, FC13, CA43,,Melon
2289,41,5,0,0,150,220,229,145,384,0.85,-498, FC14, CA31,R3,Carrot
2544,165,7,382,53,830,226,242,150,1176,0.02,-236, FC13, CA22,,Berry
2881,319,10,424,209,1120,194,231,177,674,0.74,-712, FC13, CA52,,Melon
2175,18,24,30,6,1262,194,183,117,859,0.91,-509, FC14, CA37,,Carrot
2385,207,5,459,188,633,217,245,164,1684,0.97,-230, FC14, CA26,,Carrot
2090,105,31,42,18,618,254,186,36,67,0.66,424, FC14, CA23,,Carrot
2060,254,12,30,-6,895,193,248,193,210,0.18,114, FC14, CA37,,Carrot
2379,39,17,0,0,726,218,199,111,1142,0.26,-102, FC14, CA30,,Carrot
2552,121,21,95,28,1513,250,218,85,1415,1,952, FC13, CA24,,Berry
2796,130,16,60,9,630,244,229,109,150,0.49,-403, FC11, CA50,,Melon
2763,46,15,228,50,2573,223,206,112,301,0.62,664, FC13, CA30,,Melon
2319,183,19,391,25,1273,222,249,152,872,0.19,-731, FC14, CA22,,Carrot
2883,341,16,301,88,1698,186,215,167,1839,0.94,-706, FC13, CA54,,Mango
2991,49,13,85,0,6199,225,211,117,3613,0.86,-377, FC11, CA44,,Apple
2175,353,20,210,52,631,181,200,154,216,0.42,-864, FC14, CA30,,Mango
2443,330,14,108,13,942,185,222,176,1290,0.37,-831, FC14, CA26,,Berry
2292,,14,30,5,469,240,217,105,800,0.44,781, FC14, CA24,,Carrot
2850,,6,295,58,4394,225,227,137,5239,0.8,548, FC11, CA49,,Apple
2090,286,28,60,46,390,131,226,228,339,0.25,253, FC14, CA30,,Berry
2426,92,17,30,8,702,245,211,89,1173,0.73,739, FC14, CA25,,Carrot
3200,25,25,395,124,966,199,179,106,966,0.86,-491, FC11, CA42,,Apple
2035,323,23,95,32,150,154,209,191,716,0.08,-27, FC14, CA30,,Berry
2609,219,17,300,62,1110,198,254,188,1019,0.58,842, FC13, CA24,,Berry
2756,17,13,604,57,180,208,212,139,849,0.79,90, FC13, CA31,,Melon
3100,171,6,60,-3,598,224,243,153,1798,0.08,251, FC11, CA43,R3,Apple
2388,128,13,242,97,1222,242,231,116,1041,0.04,-37, FC14, CA22,R3,Berry
2787,92,34,182,85,240,249,168,18,2613,0.06,423, FC11, CA50,R2,Melon
3385,222,28,674,262,3283,174,253,202,2801,0.83,622, FC11, CA59,R2,Apple
2298,,19,0,0,1110,235,241,128,1055,0.54,-206, FC14, CA23,,Carrot
3041,301,1,120,8,190,215,238,161,573,0.62,-49, FC12, CA42,,Apple
2055,,37,360,206,330,108,172,189,918,0.89,690, FC14, CA25,,Mango
2397,196,7,457,200,726,219,246,162,1597,0.74,499, FC14, CA26,,Carrot
2813,101,29,182,141,1356,253,188,43,899,0.35,20, FC13, CA33,R1,Melon
2416,290,18,60,22,365,167,235,207,872,0.02,-455, FC14, CA30,,Berry
3237,120,36,351,41,3127,253,185,26,2965,0.4,-79, FC11, CA59,,Apple
3273,35,12,700,123,2385,219,214,129,2304,0.8,729, FC13, CA44,R2,Apple
2022,340,15,342,-35,631,188,217,168,849,0.78,-485, FC14, CA21,R2,Mango
2809,49,5,277,11,450,222,229,142,551,0.21,-798, FC11, CA50,,Melon
2104,116,13,0,0,1065,242,227,111,626,0.93,-349, FC14, CA23,,Carrot
1908,323,32,150,52,120,125,190,196,765,0.37,-669, FC14, CA25,,Mango
2278,123,23,192,85,960,251,215,78,1345,0.18,954, FC14, CA23,,Carrot
2551,324,27,108,49,891,141,199,192,390,0.16,-736, FC13, CA53,,Mango
2450,,25,234,25,671,200,178,104,1577,0.2,30, FC14, CA30,R2,Berry
2792,109,19,67,8,2856,249,214,85,2208,0.49,677, FC11, CA49,,Melon
3267,332,11,379,39,1741,193,225,172,782,0.91,-269, FC13, CA51,,Apple
2424,38,13,85,16,1050,219,212,125,1158,0.19,59, FC14, CA30,R3,Berry
2180,133,17,0,0,1146,245,230,108,1146,0.61,-509, FC14, CA23,,Carrot
2675,64,7,0,0,1358,227,226,133,698,0.7,975, FC13, CA53,,Melon
3004,65,12,67,-8,2670,231,216,116,2232,0.1,-43, FC13, CA43,R1,Apple
2737,52,29,90,52,120,220,165,60,1277,0.37,437, FC11, CA49,R2,Melon
2103,225,20,127,39,564,188,254,197,875,0.75,-227, FC14, CA26,,Berry
2582,45,7,426,20,1392,222,225,138,1643,0.98,-72, FC13, CA31,,Melon
3145,54,11,516,64,1276,226,216,122,2565,0.12,787, FC13, CA52,,Apple
3057,,19,626,144,4435,217,196,107,3955,0.74,868, FC11, CA49,,Apple
2640,80,8,180,-2,1092,231,225,127,5866,0.89,380, FC11, CA49,,Orange
2522,227,12,242,37,942,203,251,183,1008,0.78,825, FC13, CA22,,Berry
2310,117,32,162,82,446,254,192,39,1846,0.7,770, FC14, CA23,,Carrot
2716,1,10,234,27,2100,206,222,153,5581,0.93,229, FC11, CA32,,Orange
2114,,19,0,0,1218,175,211,173,1140,0.29,260, FC14, CA37,,Carrot
2172,261,18,30,10,1195,172,247,211,808,0.3,-655, FC14, CA30,,Carrot
2476,85,3,0,0,433,223,234,147,1261,0.13,-481, FC14, CA26,,Carrot
1906,356,20,150,55,120,184,201,151,726,0.38,992, FC14, CA22,,Mango
3389,65,13,85,11,2674,232,214,112,2295,0.03,515, FC11, CA59,,Peach
2289,105,41,277,185,876,250,157,0,335,0.49,137, FC14, CA23,,Carrot
2893,114,16,108,30,5066,245,223,102,4340,0.69,588, FC11, CA49,,Orange
2084,106,26,42,16,553,253,197,54,127,0.41,-414, FC14, CA23,,Carrot
2461,34,14,120,18,256,217,210,125,1874,0.01,-600, FC14, CA26,,Berry
2828,82,7,170,41,750,230,228,130,67,0.09,-400, FC11, CA49,,Melon
2868,204,9,330,103,2083,215,248,168,780,0.55,-52, FC13, CA51,,Melon
2278,283,20,127,-19,485,161,237,214,469,0.62,-989, FC14, CA30,,Berry
3272,341,21,297,51,2112,170,203,169,3124,0.3,607, FC11, CA59,R3,Apple
3242,42,18,192,18,1565,220,198,107,2418,0.72,9, FC11, CA49,,Apple
2716,26,8,256,17,95,216,222,142,782,0.79,-627, FC13, CA31,,Melon
2669,196,17,283,62,2148,214,252,167,2502,0.63,99, FC13, CA24,,Berry
2552,11,15,0,0,1075,203,207,139,1492,0.49,300, FC13, CA40,R3,Mango
2376,104,14,0,0,1020,243,221,105,849,0.01,194, FC14, CA26,,Carrot
3181,323,5,537,70,1032,207,235,166,2307,0.97,795, FC13, CA51,,Apple
2087,145,35,127,78,365,243,210,64,390,0.17,504, FC14, CA26,,Berry
2862,284,12,866,185,2250,187,240,192,1663,0.91,166, FC13, CA33,,Melon
2733,,13,30,-1,1350,222,210,120,2297,0.86,-333, FC11, CA43,,Melon
2076,271,9,0,0,1291,196,243,187,589,0.81,-573, FC14, CA37,,Carrot
2374,65,14,0,0,633,232,211,109,834,0.79,704, FC14, CA22,,Carrot
3107,356,12,283,89,4855,201,219,155,2069,0.49,-240, FC11, CA49,,Apple
2247,101,2,0,0,1556,223,236,148,1050,0.67,71, FC14, CA37,,Carrot
2034,104,16,0,0,450,246,217,95,551,0.11,-906, FC14, CA34,,Carrot
2622,202,16,331,83,1477,211,253,172,1961,0.01,-535, FC13, CA24,,Berry
2463,326,5,150,50,228,206,234,166,371,0.49,279, FC14, CA26,,Berry
3217,162,6,60,0,2954,226,242,149,2370,0.28,-37, FC11, CA49,R1,Peach
2763,,22,485,129,2589,238,237,118,2083,0.05,-397, FC13, CA24,,Berry
2810,110,6,421,0,1871,230,234,138,2178,0.36,-427, FC11, CA32,,Apple
2343,253,34,474,13,764,124,238,238,825,0.08,824, FC14, CA21,,Berry
2129,259,12,210,96,342,190,247,195,379,0.66,904, FC14, CA21,,Berry
3275,84,5,30,-2,3830,227,231,139,3707,0.71,250, FC11, CA58,,Peach
2035,353,20,365,-22,660,181,200,154,815,0.78,860, FC14, CA30,,Mango
2728,338,13,85,12,1557,191,221,169,1266,0.2,619, FC13, CA30,,Melon
2121,162,23,0,0,1224,235,238,120,1240,0.28,250, FC14, CA21,R2,Carrot
3339,203,17,726,112,4097,209,253,174,2024,0.77,-255, FC11, CA58,,Peach
2736,138,18,0,0,2714,244,231,109,2252,0.33,691, FC11, CA49,,Melon
2911,,19,256,84,1110,249,220,91,360,0.63,-729, FC11, CA50,,Melon
3112,,8,95,5,5346,202,228,165,664,0.82,-599, FC11, CA49,,Apple
3308,58,11,499,94,752,228,218,122,1172,0.95,-770, FC13, CA59,R1,Peach
2755,87,24,216,106,228,247,194,63,1891,0.4,16, FC11, CA50,,Melon
3320,104,15,170,37,2405,245,219,99,2663,0.59,40, FC11, CA59,,Peach
2308,108,17,180,67,201,247,218,95,1690,0.69,-350, FC14, CA23,R2,Carrot
2588,36,15,30,10,1262,218,207,121,1914,0.21,-980, FC13, CA33,,Melon
2955,27,8,42,-3,4604,217,223,142,2341,0.87,-559, FC11, CA43,,Melon
3351,,9,240,25,1170,235,229,125,1433,0.9,-402, FC13, CA59,,Peach
2824,135,5,218,6,3583,227,238,144,6316,0.49,507, FC11, CA40,,Orange
2125,,7,30,1,1072,201,236,175,1355,0.32,-60, FC14, CA37,,Carrot
2076,118,23,30,12,918,252,211,74,190,0.27,31, FC14, CA21,,Carrot
2918,,22,576,214,604,218,249,153,1719,0.32,-90, FC13, CA24,,Melon
2217,340,12,0,0,1140,195,223,166,366,0.91,-224, FC14, CA37,,Carrot
